food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,image
ostrich leg cooked,120.0,1.6,0.6,0.6,0.3,0.0,0.0,24.7,0.0,62.1,0.016,59.5,0.0,0.2,0.074,0.023,0.3,6.2,1.1,0.5,0.0,0.0,0.2,0.0,5.1,0.1,2.7,21.3,0.035,207.4,299.2,0.05,4.0,34.1,0
ostrich strip cooked,139.0,3.6,1.5,1.5,0.6,0.0,0.0,25.0,0.0,82.5,0.034,56.6,0.0,0.2,0.012,0.081,0.3,6.3,1.2,0.5,0.0,0.0,0.2,0.0,4.3,0.1,4.1,22.1,0.013,215.1,311.1,0.018,4.2,37.0,0
ostrich tip raw,97.0,2.0,0.7,0.7,0.4,0.0,0.0,18.6,0.0,61.2,0.041,64.7,0.0,0.2,0.099,0.017,0.2,4.0,1.0,0.4,0.0,0.0,0.2,0.0,4.3,0.1,2.4,18.7,0.034,181.1,263.5,0.033,3.2,27.3,0
ostrich round raw,99.0,2.0,0.7,0.7,0.4,0.0,0.0,18.7,0.0,60.4,0.074,64.3,0.0,0.2,0.087,0.012,0.2,4.0,1.0,0.4,0.0,0.0,0.2,0.0,4.3,0.1,3.0,18.7,0.018,183.6,267.8,0.073,3.2,28.0,0
ground bison raw,124.0,6.1,2.5,2.3,0.3,0.099,0.0,17.2,0.0,46.8,0.042,60.9,0.0,0.1,0.02,0.008,0.2,4.5,0.0,0.3,0.0,0.0,0.2,0.023,9.4,0.1,2.4,17.9,0.0,164.9,278.8,0.014,3.9,35.102,0
ostrich fan raw,99.0,2.3,0.8,0.8,0.4,0.0,0.0,18.5,0.0,62.1,0.04,64.5,0.0,0.2,0.045,0.09,0.2,4.0,1.0,0.4,0.0,0.0,0.2,0.0,5.1,0.1,3.7,18.7,0.018,179.4,261.8,0.003,3.2,29.6,0
ostrich top loin raw,101.0,2.5,1.0,0.9,0.5,0.0,0.0,18.4,0.0,63.8,0.073,64.0,0.0,0.2,0.042,0.032,0.2,4.0,1.0,0.4,0.0,0.0,0.2,0.0,5.1,0.1,2.7,18.7,0.082,181.9,265.2,0.099,3.2,28.7,0
veal brain cooked,461.0,32.6,7.4,5.9,5.1,0.0,0.0,38.9,0.0,10509.0,0.5,260.7,0.0,0.3,0.024,0.084,0.7,8.2,3.4,0.6,44.1,0.0,0.0,0.0,54.2,0.9,5.7,54.2,0.1,1305.2,725.5,0.055,5.5,175.5,0
veal tongue cooked,515.0,25.8,11.1,11.8,1.0,0.0,0.0,65.9,0.0,606.9,0.2,163.4,0.0,0.2,0.098,0.016,0.9,3.7,1.9,0.4,15.3,0.0,0.0,0.0,23.0,0.5,5.3,45.9,0.1,423.3,413.1,0.016,11.5,135.3,0
veal thymus cooked,35.0,0.9,0.3,0.3,0.066,0.0,0.0,6.4,0.0,99.1,0.036,20.8,0.0,0.055,0.052,0.095,0.084,1.0,0.3,0.005,11.2,0.0,0.079,0.0,1.1,0.029,0.4,6.8,0.063,177.4,123.1,0.059,0.6,20.0,0
beef brain cooked,688.0,55.6,13.1,14.0,8.1,0.0,0.0,44.1,0.0,7002.5,0.6,248.3,0.0,0.5,0.097,0.057,0.9,13.3,2.0,1.4,11.6,0.0,0.0,0.0,31.6,0.8,7.8,52.7,0.1,1354.9,1242.5,0.09,4.7,150.7,0
