retn_code,fdgrp_cd,retn_desc,nutr_no,nutr_desc,retn_factor
0007,01,"CHEESE,REHEATED",303,"Iron, Fe",1.0
0007,01,"CHEESE,REHEATED",304,"Magnesium, Mg",1.0
0007,01,"CHEESE,REHEATED",305,"Phosphorus, P",1.0
0007,01,"CHEESE,REHEATED",306,"Potassium, K",1.0
0007,01,"CHEESE,REHEATED",307,"Sodium, Na",1.0
0007,01,"CHEESE,REHEATED",309,"Zinc, Zn",1.0
0007,01,"CHEESE,REHEATED",312,"Copper, Cu",1.0
0007,01,"CHEESE,REHEATED",401,"Vitamin C, total ascorbic acid",0.95
0007,01,"CHEESE,REHEATED",404,Thiamin,0.95
0007,01,"CHEESE,REHEATED",405,Riboflavin,1.0
0007,01,"CHEESE,REHEATED",406,Niacin,1.0
0007,01,"CHEESE,REHEATED",415,Vitamin B-6,0.95
0007,01,"CHEESE,REHEATED",417,"Folate, total",0.95
0007,01,"CHEESE,REHEATED",431,Folic acid,0.95
0007,01,"CHEESE,REHEATED",432,"Folate, food",0.95
0007,01,"CHEESE,REHEATED",421,"Choline, total",0.95
0007,01,"CHEESE,REHEATED",418,Vitamin B-12,0.95
0007,01,"CHEESE,REHEATED",318,"Vitamin A, IU",1.0
0007,01,"CHEESE,REHEATED",392,"Vitamin A, RE",1.0
0007,01,"CHEESE,REHEATED",221,"Alcohol, ethyl",1.0
0007,01,"CHEESE,REHEATED",321,"Carotene, beta",1.0
0007,01,"CHEESE,REHEATED",322,"Carotene, alpha",1.0
0007,01,"CHEESE,REHEATED",334,"Cryptoxanthin, beta",1.0
0007,01,"CHEESE,REHEATED",337,Lycopene,1.0
0007,01,"CHEESE,REHEATED",338,Lutein + zeaxanthin,1.0
0101,01,"EGGS,BAKED",301,"Calcium, Ca",1.0
0101,01,"EGGS,BAKED",303,"Iron, Fe",1.0
0101,01,"EGGS,BAKED",304,"Magnesium, Mg",1.0
0101,01,"EGGS,BAKED",305,"Phosphorus, P",1.0
0101,01,"EGGS,BAKED",306,"Potassium, K",1.0
0101,01,"EGGS,BAKED",307,"Sodium, Na",1.0
0101,01,"EGGS,BAKED",309,"Zinc, Zn",1.0
0101,01,"EGGS,BAKED",312,"Copper, Cu",1.0
0101,01,"EGGS,BAKED",401,"Vitamin C, total ascorbic acid",0.8
0101,01,"EGGS,BAKED",404,Thiamin,0.8
0101,01,"EGGS,BAKED",405,Riboflavin,0.95
0101,01,"EGGS,BAKED",406,Niacin,0.9
0101,01,"EGGS,BAKED",415,Vitamin B-6,0.95
0101,01,"EGGS,BAKED",417,"Folate, total",0.75
0101,01,"EGGS,BAKED",431,Folic acid,0.75
0101,01,"EGGS,BAKED",432,"Folate, food",0.75
0101,01,"EGGS,BAKED",421,"Choline, total",0.8
0101,01,"EGGS,BAKED",418,Vitamin B-12,0.8
0101,01,"EGGS,BAKED",318,"Vitamin A, IU",1.0
0101,01,"EGGS,BAKED",392,"Vitamin A, RE",1.0
0101,01,"EGGS,BAKED",221,"Alcohol, ethyl",1.0
0101,01,"EGGS,BAKED",321,"Carotene, beta",1.0
0101,01,"EGGS,BAKED",322,"Carotene, alpha",1.0
0101,01,"EGGS,BAKED",334,"Cryptoxanthin, beta",1.0
0101,01,"EGGS,BAKED",337,Lycopene,1.0
0101,01,"EGGS,BAKED",338,Lutein + zeaxanthin,1.0
0103,01,"EGGS,FRIED,SCRAMBLED",301,"Calcium, Ca",1.0
0103,01,"EGGS,FRIED,SCRAMBLED",303,"Iron, Fe",1.0
0103,01,"EGGS,FRIED,SCRAMBLED",304,"Magnesium, Mg",1.0
0103,01,"EGGS,FRIED,SCRAMBLED",305,"Phosphorus, P",1.0
0103,01,"EGGS,FRIED,SCRAMBLED",306,"Potassium, K",1.0
0103,01,"EGGS,FRIED,SCRAMBLED",307,"Sodium, Na",1.0
0103,01,"EGGS,FRIED,SCRAMBLED",309,"Zinc, Zn",1.0
0103,01,"EGGS,FRIED,SCRAMBLED",312,"Copper, Cu",1.0
0103,01,"EGGS,FRIED,SCRAMBLED",401,"Vitamin C, total ascorbic acid",0.8
0103,01,"EGGS,FRIED,SCRAMBLED",404,Thiamin,0.85
0103,01,"EGGS,FRIED,SCRAMBLED",405,Riboflavin,0.95
0103,01,"EGGS,FRIED,SCRAMBLED",406,Niacin,0.95
0103,01,"EGGS,FRIED,SCRAMBLED",415,Vitamin B-6,0.95
0103,01,"EGGS,FRIED,SCRAMBLED",417,"Folate, total",0.75
0103,01,"EGGS,FRIED,SCRAMBLED",431,Folic acid,0.75
0103,01,"EGGS,FRIED,SCRAMBLED",432,"Folate, food",0.75
0103,01,"EGGS,FRIED,SCRAMBLED",421,"Choline, total",0.85
